algo  seed  peak_reward   peak_step     final_reward    n_evals   normalized  
------------------------------------------------------------------------------
dqn   0     -169.580      175000        -348.630        20        True        
dqn   1     -128.225      425000        -212.480        20        True        
dqn   2     -165.740      375000        -289.715        20        True        
dqn   3     -142.490      375000        -157.625        20        True        
dqn   4     -139.160      275000        -337.690        20        True        

ppo   0     -27.905       300000        -45.845         20        False       
ppo   1     -19.720       300000        -34.330         20        False       
ppo   2     -28.190       400000        -33.025         20        False       
ppo   3     -28.455       325000        -41.215         20        False       
ppo   4     -24.210       350000        -27.580         20        False       
